Mouse,Date,En,Probe,ML,AP,DV,theta,phi,Insertion_1,Insertion_2,Insertion_3,MSE
zye_0049,2021-12-24,1,p0,-2500,-1200,4700,80,0,-3014,-275,-818,1058.21595149572
ab_0019,2022-05-18,1,p0,-800,-2590,4600,90,0,-739,-2525,-93,89.1403387922658
ab_0020,2022-05-18,1,p0,-940,-2600,5150,90,0,-1039,-2875,-43,292.277265622901
ab_0019,2022-05-19,1,p0,-825,-2366,4950,90,0,-739,-2025,-93,351.677408998645
ab_0020,2022-05-19,1,p0,-770,-2600,5300,90,0,-988.999999999999,-3100,-143,545.858040153298
ab_0019,2022-05-20,1,p0,-2200,-2700,4500,90,0,-2089,-2475,-218,250.890414324661
ab_0020,2022-05-20,1,p0,-940,-2340,4750,90,0,-1089,-2400,6.99999999999995,160.626896875959
ab_0019,2022-05-23,1,p0,-2200,-2325,4000,90,0,-2214,-1950,-318,375.261242336588
ab_0020,2022-05-23,1,p0,-1900,-2600,3900,90,0,-2239,-2575,-118,339.920578959262
ab_0019,2022-05-27,1,p0,800,-2600,4843,90,0,611,-2450,32,241.290281611174
ab_0020,2022-05-27,1,p0,900,-2500,4800,90,0,636,-2625,107,292.097586433027
ab_0019,2022-05-31,1,p0,-1300,-4500,3950,84,-90,-1439,-5475,-1018,984.858365451601
ab_0020,2022-05-31,1,p0,-850,900,5550,84,0,-988.999999999999,1150,-718,286.043702954636
ab_0020,2022-06-01,1,p0,-1600,480,5500,90,0,-1464,900,-768,441.470270799745
ab_0020,2022-06-02,1,p0,-1580,780,5200,90,0,-1564,1250,-868,470.2722615677
ab_0019,2022-06-03,1,p0,-1400,-4950,5200,80,-90,-1789,-5350,-1143,557.961468203674
ab_0020,2022-06-03,1,p0,-1200,1000,5450,90,0,-1264,1525,-918,528.886566288084
ab_0019,2022-06-06,1,p0,1200,-4950,4850,90,0,1061,-5525,-843,591.562338219734
ab_0020,2022-06-06,1,p0,1600,800,4850,90,0,1561,800,-818,39
ab_0019,2022-06-07,1,p0,1550,-4900,4250,90,0,1261,-5250,-793,453.895362390937
ab_0020,2022-06-07,1,p0,2000,260,4650,90,0,1786,600,-868,401.741210233653
ab_0019,2022-06-08,1,p0,1500,-4800,4050,80,-90,1161,-5150,-768,487.258658209374
ab_0020,2022-06-08,1,p0,1100,0,4975,75,-90,1186,1175,-793,1178.14303036601
ab_0021,2022-06-13,1,p0,-1260,-1360,4750,90,0,-1414,-500,-268,873.679575130379
ab_0021,2022-06-14,1,p0,-1260,-1360,4750,80,-90,-1464,-225,-343,1153.1873221641
ab_0021,2022-06-15,1,p0,-1400,-1100,5150,70,0,-1789,-150,-443,1026.55784055259
ab_0021,2022-06-17,1,p1,1900,400,4950,83,0,1336,2250,-1243,1934.06204657451
ab_0021,2022-06-20,1,p0,860,-2350,4600,90,0,611,-1500,-68,885.720610576496
ab_0021,2022-06-21,1,p0,840,-2650,4950,90,0,611,-1400,-218,1270.80328926235
ab_0021,2022-06-22,1,p0,800,-1965,4750,90,0,586,-825,-318,1159.91206563256
ab_0021,2022-06-23,1,p0,2165,-2514,4100,90,0,1811,-1275,-193,1288.57945040265
AB_0023,2022-08-09,1,p0,-500,-3000,4850,90,0,-539,-2625,6.99999999999995,377.022545744947
AB_0023,2022-08-10,5,p0,-500,-2650,4800,90,0,-563.999999999999,-2425,32,233.925201720551
AB_0023,2022-08-11,1,p0,-600,-2100,4950,90,0,-664,-2100,57,63.9999999999997
AB_0023,2022-08-12,1,p0,-2150,-2500,3900,90,0,-2364,-2350,-218,261.335034008072
AB_0023,2022-08-15,1,p0,-2150,-2800,4100,90,0,-2314,-2925,-143,206.206207472034
AB_0023,2022-08-16,1,p0,640,-2300,4850,90,0,561,-2025,-68,286.122351451263
AB_0023,2022-08-17,1,p0,675,-2600,4750,90,0,536,-2275,-43,353.47701481143
